Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,01-05-2019,1:08:00 PM,Ewallet,522.83,4.761904762,26.1415,9.1
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,03-03-2019,1:23:00 PM,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.288,489.048,1/27/2019,8:33:00 PM,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,02-08-2019,10:37:00 AM,Ewallet,604.17,4.761904762,30.2085,5.3
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,01-10-2019,5:15:00 PM,Credit card,72.52,4.761904762,3.626,7.2
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,02-12-2019,10:25:00 AM,Ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.595,453.495,02-07-2019,4:48:00 PM,Ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,7:21:00 PM,Cash,713.8,4.761904762,35.69,5.7
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,03-11-2019,11:03:00 AM,Credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.783,457.443,01-01-2019,10:39:00 AM,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,6:00:00 PM,Credit card,164.01,4.761904762,8.2005,8.6
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15:00 AM,Ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,13.2945,279.1845,03-02-2019,5:36:00 PM,Ewallet,265.89,4.761904762,13.2945,6
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,7:20:00 PM,Credit card,420.72,4.761904762,21.036,8.5
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,8.767,184.107,03-10-2019,12:17:00 PM,Credit card,175.34,4.761904762,8.767,7.7
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,3:36:00 PM,Cash,224.01,4.761904762,11.2005,7.4
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12:00 AM,Credit card,193.16,4.761904762,9.658,5.1
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,15.655,328.755,03-10-2019,7:15:00 PM,Ewallet,313.1,4.761904762,15.655,7
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.396,575.316,1/15/2019,5:17:00 PM,Ewallet,547.92,4.761904762,27.396,4.7
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,02-10-2019,3:10:00 PM,Cash,222.95,4.761904762,11.1475,8.5
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2,4.434,93.114,3/27/2019,11:26:00 AM,Cash,88.68,4.761904762,4.434,5.8
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,35.84,752.64,02-07-2019,11:28:00 AM,Ewallet,716.8,4.761904762,35.84,6.6
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,3:55:00 PM,Cash,723.5,4.761904762,36.175,5.4
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,7.905,166.005,03-06-2019,12:27:00 PM,Credit card,158.1,4.761904762,7.905,8.6
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,7.935,166.635,3/13/2019,4:40:00 PM,Cash,158.7,4.761904762,7.935,5.8
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.385,827.085,1/24/2019,10:04:00 AM,Cash,787.7,4.761904762,39.385,6.4
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,02-02-2019,6:50:00 PM,Cash,18.33,4.761904762,0.9165,4.3
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,10:55:00 AM,Ewallet,672.03,4.761904762,33.6015,9.4
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,01-12-2019,3:48:00 PM,Credit card,180.09,4.761904762,9.0045,5.7
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,17.283,362.943,3/27/2019,8:35:00 PM,Credit card,345.66,4.761904762,17.283,7.3
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1,2.1235,44.5935,01-02-2019,4:57:00 PM,Cash,42.47,4.761904762,2.1235,5.7
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,01-10-2019,4:42:00 PM,Ewallet,153.86,4.761904762,7.693,5.1
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1,4.858,102.018,03-08-2019,8:38:00 PM,Ewallet,97.16,4.761904762,4.858,7.2
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,10:16:00 AM,Ewallet,158.25,4.761904762,7.9125,9.3
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6,17.478,367.038,3/28/2019,4:44:00 PM,Cash,349.56,4.761904762,17.478,9.9
