Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,1:27:00 PM,Credit card,164.52,4.761904762,8.226,5.9
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,02-06-2019,6:07:00 PM,Ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,03-09-2019,5:03:00 PM,Cash,102.04,4.761904762,5.102,6.8
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,4:19:00 PM,Cash,562.32,4.761904762,28.116,4.5
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,4.03,84.63,03-11-2019,3:30:00 PM,Ewallet,80.6,4.761904762,4.03,4.4
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,13.197,277.137,03-05-2019,10:40:00 AM,Ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20:00 PM,Credit card,66.4,4.761904762,3.32,4.4
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1,1.676,35.196,02-08-2019,3:31:00 PM,Cash,33.52,4.761904762,1.676,6.7
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,7:48:00 PM,Cash,441.8,4.761904762,22.09,9.6
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,7:39:00 PM,Credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,12:43:00 PM,Cash,702.63,4.761904762,35.1315,4.5
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.512,703.752,01-10-2019,2:49:00 PM,Cash,670.24,4.761904762,33.512,5.1
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,12.048,253.008,03-03-2019,1:01:00 PM,Cash,240.96,4.761904762,12.048,7.7
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,6:45:00 PM,Ewallet,86.72,4.761904762,4.336,7.9
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,02-08-2019,1:03:00 PM,Cash,414.72,4.761904762,20.736,5.6
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,03-09-2019,6:00:00 PM,Cash,375.84,4.761904762,18.792,9.5
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,25.5105,535.7205,2/27/2019,5:24:00 PM,Credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,02-06-2019,3:47:00 PM,Ewallet,180.09,4.761904762,9.0045,4.1
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,5.679,119.259,02-10-2019,12:45:00 PM,Credit card,113.58,4.761904762,5.679,8.1
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,2:42:00 PM,Ewallet,71.48,4.761904762,3.574,6.5
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2,1.616,33.936,03-07-2019,11:49:00 AM,Ewallet,32.32,4.761904762,1.616,6.5
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,02-03-2019,1:40:00 PM,Ewallet,495.63,4.761904762,24.7815,10
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,15.148,318.108,2/14/2019,2:35:00 PM,Cash,302.96,4.761904762,15.148,7.6
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,01-07-2019,3:01:00 PM,Ewallet,585.66,4.761904762,29.283,9.9
