Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,03-08-2019,10:29:00 AM,Cash,76.4,4.761904762,3.82,9.6
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,6:30:00 PM,Ewallet,597.73,4.761904762,29.8865,4.1
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24:00 AM,Ewallet,430.2,4.761904762,21.51,4.8
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,02-06-2019,10:42:00 AM,Ewallet,397.68,4.761904762,19.884,7.5
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,01-07-2019,12:28:00 PM,Ewallet,68.12,4.761904762,3.406,6.8
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,21.968,461.328,3/23/2019,1:24:00 PM,Ewallet,439.36,4.761904762,21.968,7.6
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,5.611,117.831,02-02-2019,10:11:00 AM,Cash,112.22,4.761904762,5.611,6.3
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,03-04-2019,8:39:00 PM,Cash,789.6,4.761904762,39.48,7.6
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2,1.537,32.277,3/16/2019,7:47:00 PM,Cash,30.74,4.761904762,1.537,7.2
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,5:08:00 PM,Ewallet,826.3,4.761904762,41.315,7.9
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,31.99,671.79,02-03-2019,10:19:00 AM,Cash,639.8,4.761904762,31.99,9.5
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,3:46:00 PM,Credit card,15.43,4.761904762,0.7715,6.1
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,7:01:00 PM,Cash,687.84,4.761904762,34.392,8.2
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,9.183,192.843,03-12-2019,8:36:00 PM,Cash,183.66,4.761904762,9.183,9.3
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2/15/2019,5:47:00 PM,Credit card,74.22,4.761904762,3.711,10
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,10:55:00 AM,Ewallet,334.38,4.761904762,16.719,7
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2,3.347,70.287,02-10-2019,3:43:00 PM,Ewallet,66.94,4.761904762,3.347,6.7
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,939.54,01-06-2019,12:46:00 PM,Credit card,894.8,4.761904762,44.74,9.6
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,31.06,652.26,02-11-2019,4:19:00 PM,Cash,621.2,4.761904762,31.06,5.9
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6,22.773,478.233,03-09-2019,6:21:00 PM,Cash,455.46,4.761904762,22.773,8.7
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,20.825,437.325,1/13/2019,5:04:00 PM,Credit card,416.5,4.761904762,20.825,5.4
